"facility_name","addresses","zip_code","lon","lat","geoAddress"
"RIVERVIEW HEALTH","395 WESTFIELD RD, NOBLESVILLE, IN","46060",-86.0234588,40.0457679,"395 westfield rd, noblesville, in 46060, usa"
"DAVIESS COMMUNITY HOSPITAL","1314 E WALNUT ST, WASHINGTON, IN","47501",-87.1598346,38.6596091,"1314 e walnut st, washington, in 47501, usa"
"SCHNECK MEDICAL CENTER","411 W TIPTON ST, SEYMOUR, IN","47274",-85.9017455,38.9522474,"411 w tipton st, seymour, in 47274, usa"
"KING'S DAUGHTERS' HEALTH","1373 EAST SR 62, MADISON, IN","47250",-85.3638433,38.792688,"1373 e state rd 62, madison, in 47250, usa"
"MEMORIAL HOSPITAL","1101 MICHIGAN AVE, LOGANSPORT, IN","46947",-86.3623863,40.7631713,"1101 michigan ave, logansport, in 46947, usa"
"COMMUNITY HOSPITAL EAST","1500 N RITTER AVE, INDIANAPOLIS, IN","46219",-86.0750449,39.7868744,"1500 n ritter ave, indianapolis, in 46219, usa"
"BLUFFTON REGIONAL MEDICAL CENTER","303 S MAIN ST, BLUFFTON, IN","46714",-85.1711496,40.7374106,"303 s main st, bluffton, in 46714, usa"
"SAINT JOSEPH REGIONAL MEDICAL CENTER - PLYMOUTH","1915 LAKE AVE, PLYMOUTH, IN","46563",-86.331972,41.3335307,"1915 lake ave, plymouth, in 46563, usa"
"DEACONESS HOSPITAL INC","600 MARY ST, EVANSVILLE, IN","47747",-87.5712565,37.9830836,"600 mary st, evansville, in 47710, usa"
"ASCENSION ST VINCENT HOSPITAL","2001 W 86TH ST, INDIANAPOLIS, IN","46260",-86.1958346,39.9090803,"2001 w 86th st, indianapolis, in 46260, usa"
"ST ELIZABETH DEARBORN","600 WILSON CREEK RD, LAWRENCEBURG, IN","47025",-84.8834278,39.111381,"600 wilson creek rd, lawrenceburg, in 47025, usa"
"ASCENSION ST VINCENT ANDERSON","2015 JACKSON ST, ANDERSON, IN","46016",-85.6812084,40.0955305,"2015 jackson st, anderson, in 46016, usa"
"INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL","2401 UNIVERSITY AVE, MUNCIE, IN","47303",-85.414193,40.197283,"2401 w university ave, muncie, in 47303, usa"
"FRANCISCAN HEALTH DYER","24 JOLIET ST, DYER, IN","46311",-87.5253663,41.49287,"24 joliet st, dyer, in 46311, usa"
"PARKVIEW HUNTINGTON HOSPITAL","2001 STULTS RD, HUNTINGTON, IN","46750",-85.4888413,40.9058466,"2001 stults rd, huntington, in 46750, usa"
"MAJOR HOSPITAL","2451 INTELLIPLEX DR, SHELBYVILLE, IN","46176",-85.786245,39.5600099,"2451 intelliplex dr, shelbyville, in 46176, usa"
"ASCENSION ST VINCENT EVANSVILLE","3700 WASHINGTON AVE, EVANSVILLE, IN","47750",-87.4958483,37.9628438,"3700 washington ave, evansville, in 47714, usa"
"PARKVIEW WHITLEY HOSPITAL","1260 E SR 205, COLUMBIA CITY, IN","46725",-85.4648969,41.158229,"1260 in-205, columbia city, in 46725, usa"
"NORTHWEST HEALTH - STARKE","102 E CULVER RD, KNOX, IN","46534",-86.6218586,41.2873712,"102 e culver rd, knox, in 46534, usa"
"WITHAM HEALTH SERVICES","2605 N LEBANON ST, LEBANON, IN","46052",-86.473636,40.0770882,"2605 n lebanon st, lebanon, in 46052, usa"
"FRANCISCAN HEALTH LAFAYETTE","1701 S CREASY LN, LAFAYETTE, IN","47905",-86.839711,40.3985805,"1701 s creasy ln, lafayette, in 47905, usa"
"COLUMBUS REGIONAL HOSPITAL","2400 E 17TH ST, COLUMBUS, IN","47201",-85.8954683,39.2169006,"2400 e 17th st, columbus, in 47201, usa"
"COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY","1515 N MADISON AVE, ANDERSON, IN","46011",-85.6933403,40.1305129,"1515 n madison ave, anderson, in 46011, usa"
"MEMORIAL HOSPITAL AND HEALTH CARE CENTER","800 W 9TH ST, JASPER, IN","47546",-86.9401107,38.3959788,"800 w 9th st, jasper, in 47546, usa"
"COMMUNITY HOSPITAL","901 MACARTHUR BLVD, MUNSTER, IN","46321",-87.5061939,41.5491042,"901 macarthur blvd, munster, in 46321, usa"
"FRANCISCAN HEALTH CROWN POINT","1201 S MAIN ST, CROWN POINT, IN","46307",-87.3664721,41.3953233,"1201 s main st, crown point, in 46307, usa"
"COMMUNITY HOSPITAL SOUTH, INC.","1402 E COUNTY LINE RD S, INDIANAPOLIS, IN","46227",-86.132546,39.6365539,"1402 e county line rd, indianapolis, in 46227, usa"
"KOSCIUSKO COMMUNITY HOSPITAL","2101 E DUBOIS DR, WARSAW, IN","46580",-85.8282869,41.2482028,"2101 dubois dr, warsaw, in 46580, usa"
"PARKVIEW NOBLE HOSPITAL","401 SAWYER RD, KENDALLVILLE, IN","46755",-85.2956657,41.4477903,"401 sawyer rd, kendallville, in 46755, usa"
"WOMEN'S HOSPITAL THE","4199 GATEWAY BLVD, NEWBURGH, IN","47630",-87.447491,37.9738741,"4199 gateway blvd, newburgh, in 47630, usa"
"DUPONT HOSPITAL LLC","2520 E DUPONT RD, FORT WAYNE, IN","46825",-85.1089426,41.1752138,"2520 e dupont rd, fort wayne, in 46825, usa"
"ST VINCENT HEART CENTER","10580 N MERIDIAN ST, CARMEL, IN","46290",-86.1592288,39.9393695,"10580 n meridian st, indianapolis, in 46290, usa"
"ASCENSION ST VINCENT CARMEL","13500 N MERIDIAN ST, CARMEL, IN","46032",-86.1435507,39.9823454,"13500 n meridian st, carmel, in 46032, usa"
"IU HEALTH WEST HOSPITAL","1111 N RONALD REAGAN PKWY, AVON, IN","46123",-86.3411406,39.78048,"1111 ronald reagan pkwy, avon, in 46123, usa"
"INDIANA ORTHOPAEDIC HOSPITAL, LLC","8400 NORTHWEST BLVD, INDIANAPOLIS, IN","46278",-86.2673129,39.9080235,"8400 northwest blvd, indianapolis, in 46278, usa"
"INDIANA UNIVERSITY HEALTH NORTH HOSPITAL","11700 N MERIDIAN ST, CARMEL, IN","46032",-86.1594181,39.9596033,"11700 n meridian st, carmel, in 46032, usa"
"FRANCISCAN HEALTH INDIANAPOLIS","8111 S EMERSON AVE, INDIANAPOLIS, IN","46237",-86.081429,39.6499115,"8111 s emerson ave, indianapolis, in 46237, usa"
"FRANCISCAN HEALTH MUNSTER","701 SUPERIOR AVE, MUNSTER, IN","46321",-87.5119159,41.5376953,"701 superior ave, munster, in 46321, usa"
"PINNACLE HOSPITAL","9301 CONNECTICUT DR, CROWN POINT, IN","46307",-87.3285546,41.4480971,"9301 connecticut dr, crown point, in 46307, usa"
"ORTHOPAEDIC HOSPITAL AT PARKVIEW NORTH","11130 PARKVIEW CIRCLE DR, FORT WAYNE, IN","46845",-85.1015863,41.1876997,"11130 parkview cir, fort wayne, in 46845, usa"
"THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR","7952 W JEFFERSON BLVD, FORT WAYNE, IN","46804",-85.2498157,41.0400016,"7952 w jefferson blvd, fort wayne, in 46804, usa"
"COMMUNITY HOSPITAL NORTH","7150 CLEARVISTA DR, INDIANAPOLIS, IN","46256",-86.04093,39.900941,"7150 clearvista dr, indianapolis, in 46256, usa"
"PHYSICIANS' MEDICAL CENTER LLC","4023 REAS LN, NEW ALBANY, IN","47150",-85.8282258,38.339927,"4023 reas ln, new albany, in 47150, usa"
"INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL","5165 MCCARTY LN, LAFAYETTE, IN","47905",-86.8078918,40.4005342,"5165 mccarty ln, lafayette, in 47905, usa"
"UNITY PHYSICIANS HOSPITAL","4455 EDISON LAKES PKWY, MISHAWAKA, IN","46545",-86.1781163,41.7012451,"4455 edison lakes pkwy, mishawaka, in 46545, usa"
"FAIRBANKS","8102 CLEARVISTA PARKWAY, INDIANAPOLIS, IN","46256",-86.0419858,39.9033625,"8102 clearvista pkwy, indianapolis, in 46256, usa"
"ASCENSION ST VINCENT FISHERS","13861 OLIO ROAD, FISHERS, IN","46037",-85.9161569,39.9894966,"13861 olio rd, fishers, in 46037, usa"
"MONROE HOSPITAL","4011 S MONROE MEDICAL PARK BLVD, BLOOMINGTON, IN","47403",-86.5719324,39.1207087,"4011 s monroe medical park blvd, bloomington, in 47403, usa"
"COMMUNITY HOSPITAL OF BREMEN INC","1020 HIGH RD, BREMEN, IN","46506",-86.1586104,41.4561658,"1020 high rd, bremen, in 46506, usa"
"ASCENSION ST VINCENT RANDOLPH","473 E GREENVILLE AVE, WINCHESTER, IN","47394",-84.9690581,40.1688929,"473 e greenville ave, winchester, in 47394, usa"
"INDIANA UNIVERSITY HEALTH BLACKFORD HOSPITAL","410 PILGRIM BLVD, HARTFORD CITY, IN","47348",-85.3726904,40.4677793,"410 pilgrim blvd, hartford city, in 47348, usa"
"ASCENSION ST VINCENT JENNINGS","301 HENRY ST, NORTH VERNON, IN","47265",-85.6409981,39.010135,"301 henry st, north vernon, in 47265, usa"
"RUSH MEMORIAL HOSPITAL","1300 N MAIN ST, RUSHVILLE, IN","46173",-85.4442464,39.6221313,"1300 n main st, rushville, in 46173, usa"
"PULASKI MEMORIAL HOSPITAL","616 E 13TH ST, WINAMAC, IN","46996",-86.5960541,41.0562008,"616 e 13th st, winamac, in 46996, usa"
"INDIANA UNIVERSITY HEALTH PAOLI HOSPITAL","642 W HOSPITAL RD, PAOLI, IN","47454",-86.475328,38.5682995,"642 w hospital rd, paoli, in 47454, usa"
"ASCENSION ST VINCENT WILLIAMSPORT","412 N MONROE ST, WILLIAMSPORT, IN","47993",-87.2965648,40.2905485,"412 n monroe st, williamsport, in 47993, usa"
"ASCENSION ST VINCENT MERCY","1331 S A ST, ELWOOD, IN","46036",-85.8434347,40.2755165,"1331 s a st, elwood, in 46036, usa"
"ASCENSION ST VINCENT CLAY","1206 E NATIONAL AVE, BRAZIL, IN","47834",-87.1116937,39.5293481,"1206 e national ave, brazil, in 47834, usa"
"PARKVIEW WABASH HOSPITAL, INC","10 JOHN KISSINGER DRIVE, WABASH, IN","46992",-85.824086,40.8211147,"10 john kissinger dr, wabash, in 46992, usa"
"INDIANA UNIVERSITY HEALTH TIPTON HOSPITAL INC","1000 S MAIN ST, TIPTON, IN","46072",-86.0422846,40.2721616,"1000 s main st, tipton, in 46072, usa"
"INDIANA UNIVERSITY HEALTH WHITE MEMORIAL HOSPITAL","720 SOUTH SIXTH ST, MONTICELLO, IN","47960",-86.7778818,40.7345768,"720 s 6th st, monticello, in 47960, usa"
"WOODLAWN HOSPITAL","1400 E 9TH ST, ROCHESTER, IN","46975",-86.1957552,41.0639232,"1400 e 9th st, rochester, in 46975, usa"
"ASCENSION ST VINCENT SALEM","911 N SHELBY ST, SALEM, IN","47167",-86.1071817,38.6132502,"911 n shelby st, salem, in 47167, usa"
"CAMERON MEMORIAL COMMUNITY HOSPITAL INC","416 E MAUMEE ST, ANGOLA, IN","46703",-84.99496,41.6342105,"416 e maumee st, angola, in 46703, usa"
"INDIANA UNIVERSITY HEALTH FRANKFORT INC","1300 S JACKSON ST, FRANKFORT, IN","46041",-86.5112609,40.2695974,"1300 s jackson st, frankfort, in 46041, usa"
"GREENE COUNTY GENERAL HOSPITAL","1185 N 1000 W, LINTON, IN","47441",-87.1263477,39.0409409,"1185 n 1000 w, linton, in 47441, usa"
"DUKES MEMORIAL HOSPITAL","275 W 12TH ST, PERU, IN","46970",-86.0843178,40.7560108,"275 w 12th st, peru, in 46970, usa"
"GIBSON GENERAL HOSPITAL","1808 SHERMAN DR, PRINCETON, IN","47670",-87.589781,38.3608587,"1808 sherman dr, princeton, in 47670, usa"
"INDIANA UNIVERSITY HEALTH JAY, INC.","500 W VOTAW ST, PORTLAND, IN","47371",-84.9838328,40.439496,"500 w votaw st, portland, in 47371, usa"
"PERRY COUNTY MEMORIAL HOSPITAL","8885 SR 237, TELL CITY, IN","47586",-86.7317357,37.968128,"8885 in-237, tell city, in 47586, usa"
"PARKVIEW LAGRANGE HOSPITAL","207 N TOWNLINE RD, LAGRANGE, IN","46761",-85.4261117,41.6457682,"207 n 00ew, lagrange, in 46761, usa"
"FRANCISCAN HEALTH RENSSELAER, INC","1104 E GRACE ST, RENSSELAER, IN","47978",-87.1388606,40.9343526,"1104 e grace st, rensselaer, in 47978, usa"
"ASCENSION ST VINCENT WARRICK","1116 MILLIS AVE, BOONVILLE, IN","47601",-87.262921,38.0418134,"1116 millis ave, boonville, in 47601, usa"
"UNION HOSPITAL CLINTON","801 S MAIN ST, CLINTON, IN","47842",-87.3992115,39.652955,"801 s main st, clinton, in 47842, usa"
"SULLIVAN COUNTY COMMUNITY HOSPITAL","2200 N SECTION ST, SULLIVAN, IN","47882",-87.4127722,39.1256786,"2200 n section st, new lebanon, in 47882, usa"
"INDIANA UNIVERSITY HEALTH BEDFORD HOSPITAL","2900 W 16TH ST, BEDFORD, IN","47421",-86.5129187,38.85946,"2900 16th st, bedford, in 47421, usa"
"MARGARET MARY COMMUNITY HOSPITAL INC","321 MITCHELL AVE, BATESVILLE, IN","47006",-85.2226698,39.3052516,"321 mitchell ave, batesville, in 47006, usa"
"ADAMS MEMORIAL HOSPITAL","1100 MERCER AVE, DECATUR, IN","46733",-84.9150369,40.817419,"1100 mercer ave, decatur, in 46733, usa"
"HARRISON COUNTY HOSPITAL","1141 HOSPITAL DR NW, CORYDON, IN","47112",-86.1454843,38.2371325,"1141 hospital dr n w, corydon, in 47112, usa"
"DECATUR COUNTY MEMORIAL HOSPITAL","720 N LINCOLN ST, GREENSBURG, IN","47240",-85.4786454,39.3440127,"720 n lincoln st, greensburg, in 47240, usa"
"PUTNAM COUNTY HOSPITAL","1542 S BLOOMINGTON ST, GREENCASTLE, IN","46135",-86.8476013,39.621285,"1542 s bloomington st, greencastle, in 46135, usa"
"SCOTT MEMORIAL HEALTH","1451 N GARDNER ST, SCOTTSBURG, IN","47170",-85.7862604,38.704631,"1451 n gardner st, scottsburg, in 47170, usa"
"ASCENSION ST VINCENT DUNN","1600 23RD ST, BEDFORD, IN","47421",-86.494527,38.853322,"1600 23rd st, bedford, in 47421, usa"
"WABASH VALLEY ALLIANCE, INC. / RIVER BEND HOSPITAL","2900 N RIVER RD, WEST LAFAYETTE, IN","47906",-86.89372,40.460398,"2900 n river rd, west lafayette, in 47906, usa"
"NEURODIAGNOSTIC INSTITUTE","5435 E 16TH ST, INDIANAPOLIS, IN","46218",-86.0764807,39.7881459,"5435 e 16th st, indianapolis, in 46218, usa"
"HAMILTON CENTER INC","620 8TH AVE, TERRE HAUTE, IN","47804",-87.4099829,39.4854271,"620 8th ave, terre haute, in 47804, usa"
"COMMUNITY MENTAL HEALTH CENTER INC","285 BIELBY RD, LAWRENCEBURG, IN","47025",-84.8824564,39.1112884,"285 bielby rd, lawrenceburg, in 47025, usa"
"OTIS R BOWEN CENTER FOR HUMAN SERVICES INC","9 PEQUIGNOT DR, PIERCETON, IN","46562",-85.7006792,41.2052067,"9 pequignot dr, pierceton, in 46562, usa"
"RICHMOND STATE HOSPITAL","498 NW 18TH ST, RICHMOND, IN","47374",-84.9269066,39.8346752,"498 nw 18th st, richmond, in 47374, usa"
"MADISON STATE HOSPITAL","711 GREEN RD, MADISON, IN","47250",-85.4012975,38.7613434,"711 green rd, madison, in 47250, usa"
"REGIONAL MENTAL HEALTH CENTER","8555 TAFT ST, MERRILLVILLE, IN","46410",-87.3634698,41.4634324,"8555 taft st, merrillville, in 46410, usa"
"GRANT-BLACKFORD MENTAL HEALTH, INC","505 WABASH AVE, MARION, IN","46952",-85.6665243,40.5649735,"505 n wabash ave, marion, in 46952, usa"
"VALLE VISTA HEALTH SYSTEM","898 E MAIN ST, GREENWOOD, IN","46143",-86.0864872,39.6152061,"898 e main st, greenwood, in 46143, usa"
"OAKLAWN PSYCHIATRIC CENTER INC","330 LAKEVIEW DR, GOSHEN, IN","46527",-85.8394255,41.6036361,"330 lakeview dr, goshen, in 46528, usa"
"FOUR COUNTY COUNSELING CENTER","1015 MICHIGAN AVE, LOGANSPORT, IN","46947",-86.3630296,40.76249,"1015 michigan ave, logansport, in 46947, usa"
"BLOOMINGTON MEADOWS HOSPITAL","3600 N PROW RD, BLOOMINGTON, IN","47404",-86.5511909,39.2059067,"3600 n prow rd, bloomington, in 47404, usa"
"MICHIANA BEHAVIORAL HEALTH CENTER","1800 N OAK RD, PLYMOUTH, IN","46563",-86.3278932,41.3568901,"1800 n oak dr, plymouth, in 46563, usa"
"NORTHEASTERN CENTER","1850 WESLEY RD, AUBURN, IN","46706",-85.030102,41.372441,"1850 wesley rd, auburn, in 46706, usa"
"WELLSTONE REGIONAL HOSPITAL","2700 VISSING PARK RD, JEFFERSONVILLE, IN","47130",-85.7099931,38.3267249,"2700 vissing park rd, jeffersonville, in 47130, usa"
"PORTER-STARKE SERVICES INC","701 WALL ST, VALPARAISO, IN","46383",-87.0518872,41.4896283,"701 wall st, valparaiso, in 46383, usa"
"MERIDIAN SERVICES CORP","2401 W UNIVERSITY AVE, MUNCIE, IN","47303",-85.414193,40.197283,"2401 w university ave, muncie, in 47303, usa"
"HARSHA BEHAVIORAL CENTER INC","1980 E WOODSMALL DR, TERRE HAUTE, IN","47802",-87.3877125,39.3764121,"1980 e woodsmall dr, terre haute, in 47802, usa"
"BRENTWOOD MEADOWS LLC","4488 ROSLIN RD, NEWBURGH, IN","47630",-87.3314472,37.9929913,"4488 roslin rd, newburgh, in 47630, usa"
"EVANSVILLE STATE HOSPITAL","3400 LINCOLN AVENUE, EVANSVILLE, IN","47714",-87.5020175,37.9729376,"3400 lincoln ave, evansville, in 47714, usa"
"OPTIONS BEHAVIORAL HEALTH SYSTEM","5602 CAITO DRIVE, INDIANAPOLIS, IN","46226",-86.0437984,39.8557946,"5602 caito dr, lawrence, in 46226, usa"
"DOCTORS NEUROPSYCHIATRIC HOSPITAL","417 S WHITLOCK ST, BREMEN, IN","46506",-86.1502154,41.443457,"417 s whitlock st, bremen, in 46506, usa"
"SYCAMORE SPRINGS","833 PARK EAST BLVD, LAFAYETTE, IN","47905",-86.8274467,40.4067396,"833 park e blvd, lafayette, in 47905, usa"
"PARK CENTER, INC","1909 CAREW STREET, FORT WAYNE, IN","46805",-85.1084921,41.0936779,"1909 carew st, fort wayne, in 46805, usa"
"MEDICAL BEHAVIORAL HOSPITAL - MISHAWAKA","1625 EAST JEFFERSON BLVD, MISHAWAKA, IN","46545",-86.1588814,41.6712174,"1625 e jefferson blvd, mishawaka, in 46545, usa"
"NEUROPSYCHIATRIC HOSPITAL OF INDIANAPOLIS, LLC","6720 PARKDALE PLACE, SUITE 100, INDIANAPOLIS, IN","46254",-86.2788616,39.8262247,"6720 parkdale pl #100, indianapolis, in 46254, usa"
"ASSURANCE HEALTH PSYCHIATRIC HOSPITAL","900 NORTH HIGH SCHOOL ROAD, INDIANAPOLIS, IN","46214",-86.2732981,39.7776059,"900 n high school rd, indianapolis, in 46214, usa"
"NEURO BEHAVIORAL HOSPITAL","9330 BROADWAY, CROWN POINT, IN","46307",-87.3374798,41.4485378,"9330 broadway, crown point, in 46307, usa"
"UNITYPOINT HEALTH - MARSHALLTOWN","3 S 4TH AVE, MARSHALLTOWN, IA","50158",-92.9069853,42.0495223,"3 s 4th ave, marshalltown, ia 50158, usa"
"ST ANTHONY REGIONAL HOSPITAL & NURSING HOME","311 SOUTH CLARK STREET, CARROLL, IA","51401",-94.8657176,42.0557208,"311 s clark st, carroll, ia 51401, usa"
"KEOKUK AREA HOSPITAL","1600 MORGAN STREET, KEOKUK, IA","52632",-91.3885259,40.4069886,"1600 morgan st, keokuk, ia 52632, usa"
"TRINITY MUSCATINE","1518 MULBERRY AVENUE, MUSCATINE, IA","52761",-91.0544985,41.4332299,"1518 mulberry ave, muscatine, ia 52761, usa"
"TRINITY REGIONAL MEDICAL CENTER","802 KENYON RD, FORT DODGE, IA","50501",-94.1933805,42.4924492,"802 kenyon rd, fort dodge, ia 50501, usa"
"CHI HEALTH MERCY COUNCIL BLUFFS","800 MERCY DRIVE, COUNCIL BLUFFS, IA","51503",-95.8392455,41.2686369,"800 mercy dr, council bluffs, ia 51503, usa"
"MERCY HOSPITAL","500 E MARKET STREET, IOWA CITY, IA","52245",-91.5285792,41.6641482,"500 e market st, iowa city, ia 52245, usa"
"MARY GREELEY MEDICAL CENTER","1111 DUFF AVENUE, AMES, IA","50010",-93.6118077,42.0328049,"1111 duff ave, ames, ia 50010, usa"
"MERCYONE NEWTON MEDICAL CENTER","204 N 4TH AVE E, NEWTON, IA","50208",-93.0509917,41.7034206,"204 n 4th ave e, newton, ia 50208, usa"
"GENESIS MEDICAL CENTER-DAVENPORT","1227 EAST RUSHOLME STREET, DAVENPORT, IA","52803",-90.557105,41.5430399,"1227 e rusholme st, davenport, ia 52803, usa"
"SARTORI MEMORIAL HOSPITAL, INC","515 COLLEGE STREET, CEDAR FALLS, IA","50613",-92.4580897,42.5336466,"515 college st, cedar falls, ia 50613, usa"
"ST LUKES HOSPITAL","1026 A AVE NE, CEDAR RAPIDS, IA","52402",-91.6604322,41.9853036,"1026 a ave ne, cedar rapids, ia 52402, usa"
"METHODIST JENNIE EDMUNDSON","933 EAST PIERCE STREET, COUNCIL BLUFFS, IA","51503",-95.8355898,41.2662785,"933 e pierce st, council bluffs, ia 51503, usa"
"GREAT RIVER MEDICAL CENTER","1221 SOUTH GEAR AVENUE, WEST BURLINGTON, IA","52655",-91.171111,40.8109638,"1221 s gear ave, burlington, ia 52601, usa"
"UNIVERSITY OF IOWA HOSPITAL & CLINICS","200 HAWKINS DRIVE, IOWA CITY, IA","52242",-91.5480726,41.659487,"200 hawkins dr, iowa city, ia 52242, usa"
"MERCYONE NORTH IOWA MEDICAL CENTER","1000 FOURTH STREET SW, MASON CITY, IA","50401",-93.2166509,43.1495695,"1000 4th st sw, mason city, ia 50401, usa"
"MERCYONE WATERLOO MEDICAL CENTER","3421 WEST NINTH STREET, WATERLOO, IA","50702",-92.3460257,42.4614809,"3421 w 9th st, waterloo, ia 50702, usa"
"MERCYONE DUBUQUE MEDICAL CENTER","250 MERCY DRIVE, DUBUQUE, IA","52001",-90.6750809,42.492721,"250 mercy dr, dubuque, ia 52001, usa"
"MERCY MEDICAL CENTER - CEDAR RAPIDS","701 10TH STREET SE, CEDAR RAPIDS, IA","52403",-91.6570171,41.9790824,"701 10th st se, cedar rapids, ia 52403, usa"
"MERCYONE CLINTON MEDICAL CENTER","1410 NORTH 4TH STREET, CLINTON, IA","52732",-90.1890143,41.861474,"1410 n 4th st, clinton, ia 52732, usa"
"UNITYPOINT HEALTH - DES MOINES IOWA METHODIST MEDI","1200 PLEASANT STREET, DES MOINES, IA","50309",-93.636023,41.5891318,"1200 pleasant st, des moines, ia 50309, usa"
"MERCYONE DES MOINES MEDICAL CENTER","1111 6TH AVE, DES MOINES, IA","50314",-93.6228884,41.5986713,"1111 6th ave, des moines, ia 50314, usa"
"OTTUMWA REGIONAL HEALTH CENTER","1001 E PENNSYLVANIA, OTTUMWA, IA","52501",-92.3895049,41.0288887,"1001 e pennsylvania ave, ottumwa, ia 52501, usa"
"BROADLAWNS MEDICAL CENTER","1801 HICKMAN ROAD, DES MOINES, IA","50314",-93.6418104,41.615907,"1801 hickman rd, des moines, ia 50314, usa"
"TRINITY - BETTENDORF","4500 UTICA RIDGE ROAD, BETTENDORF, IA","52722",-90.5198013,41.5660801,"4500 utica ridge rd, bettendorf, ia 52722, usa"
"ALLEN HOSPITAL","1825 LOGAN AVENUE, WATERLOO, IA","50703",-92.3395639,42.5266507,"1825 logan ave, waterloo, ia 50703, usa"
"SPENCER MUNICIPAL HOSPITAL","1200 1ST AVENUE EAST, SPENCER, IA","51301",-95.1433697,43.149637,"1200 1st ave e, spencer, ia 51301, usa"
"FINLEY HOSPITAL","350 NORTH GRANDVIEW AVENUE, DUBUQUE, IA","52001",-90.6859143,42.4962806,"350 n grandview ave, dubuque, ia 52001, usa"
"FORT MADISON COMMUNITY HOSPITAL","5445 AVE O, FORT MADISON, IA","52627",-91.3835555,40.625953,"5445 avenue o, fort madison, ia 52627, usa"
"LAKES REGIONAL HEALTHCARE","2301 HIGHWAY 71, SPIRIT LAKE, IA","51360",-95.1248033,43.4177136,"2301 us-71, spirit lake, ia 51360, usa"
"ST LUKES REGIONAL MEDICAL CENTER","2720 STONE PARK BOULEVARD, SIOUX CITY, IA","51104",-96.4059744,42.5194638,"2720 stone park blvd, sioux city, ia 51104, usa"
"GRINNELL REGIONAL MEDICAL CENTER","210 FOURTH AVENUE, GRINNELL, IA","50112",-92.7343079,41.7427063,"210 4th ave, grinnell, ia 50112, usa"
"MERCYONE SIOUXLAND MEDICAL CENTER","801 5TH ST, SIOUX CITY, IA","51101",-96.4009146,42.4956386,"801 5th st, sioux city, ia 51101, usa"
"BAUM HARMON MERCY HOSPITAL","255 N WELCH AVENUE, PRIMGHAR, IA","51245",-95.6235351,43.0887574,"255 n welch ave, primghar, ia 51245, usa"
"IOWA SPECIALTY HOSPITAL - BELMOND","403 FIRST STREET SE, BELMOND, IA","50421",-93.6128365,42.8455436,"403 1st st se, belmond, ia 50421, usa"
"IOWA SPECIALTY HOSPITAL - CLARION","1316 SOUTH MAIN STREET, CLARION, IA","50525",-93.7335643,42.7212739,"1316 s main st, clarion, ia 50525, usa"
"GRUNDY COUNTY MEMORIAL HOSPITAL","201 EAST J AVENUE, GRUNDY CENTER, IA","50638",-92.7621174,42.3593684,"201 e j ave, grundy center, ia 50638, usa"
"CHI HEALTH  - MERCY CORNING","603 ROSARY DRIVE, CORNING, IA","50841",-94.7492952,40.9889917,"603 rosary dr, corning, ia 50841, usa"
"POCAHONTAS COMMUNITY HOSPITAL","606 N W 7TH STREET, POCAHONTAS, IA","50574",-94.6778971,42.7409897,"606 nw 7th st, pocahontas, ia 50574, usa"
"JONES REGIONAL MEDICAL CENTER","1795 HIGHWAY 64 EAST, ANAMOSA, IA","52205",-91.2684409,42.1041064,"1795 ia-64, anamosa, ia 52205, usa"
"HANCOCK COUNTY HEALTH SYSTEM","532 1ST ST NW, BRITT, IA","50423",-93.8072637,43.0983116,"532 1st st nw, britt, ia 50423, usa"
"FRANKLIN GENERAL HOSPITAL","1720 CENTRAL AVENUE EAST, HAMPTON, IA","50441",-93.1856936,42.7438379,"1720 central ave e, hampton, ia 50441, usa"
"CHI HEALTH MISSOURI VALLEY","631 N 8TH ST, MISSOURI VALLEY, IA","51555",-95.8856796,41.5628229,"631 n 8th st, missouri valley, ia 51555, usa"
"ADAIR COUNTY MEMORIAL HOSPITAL","609 SE KENT, GREENFIELD, IA","50849",-94.4517377,41.3038341,"609 se kent st, greenfield, ia 50849, usa"
"HAWARDEN REGIONAL HEALTHCARE","1111 11TH STREET, HAWARDEN, IA","51023",-96.4799443,42.998442,"1111 11th st, hawarden, ia 51023, usa"
"GUTTENBERG MUNICIPAL HOSPITAL","200 MAIN STREET, GUTTENBERG, IA","52052",-91.099348,42.7857535,"200 main st, guttenberg, ia 52052, usa"
"GENESIS MEDICAL CENTER-DEWITT","1118 11TH STREET, DEWITT, IA","52742",-90.5472032,41.8263283,"1118 11th st, dewitt, ia 52742, usa"
"GUTHRIE COUNTY HOSPITAL","710 NORTH 12TH STREET, GUTHRIE CENTER, IA","50115",-94.4935775,41.6837887,"710 n 12th st, guthrie center, ia 50115, usa"
"KEOKUK COUNTY HEALTH CENTER","23019 HIGHWAY 149, SIGOURNEY, IA","52591",-92.2057451,41.3230105,"23019 ia-149, sigourney, ia 52591, usa"
"GUNDERSEN PALMER LUTHERAN HOSPITAL AND CLINICS","112 JEFFERSON STREET, WEST UNION, IA","52175",-91.8098321,42.9682982,"112 w jefferson st, west union, ia 52175, usa"
