SiteNumber	Type	LocationID	EffectiveDate	Region	DistrictOffice	State	StateName	County	CountyState	City	FacilityName	Ownership	Use	Owner	OwnerAddress	OwnerCSZ	OwnerPhone	Manager	ManagerAddress	ManagerCSZ	ManagerPhone	ARPLatitude	ARPLatitudeS	ARPLongitude	ARPLongitudeS	ARPMethod	ARPElevation	ARPElevationMethod	MagneticVariation	MagneticVariationYear	TrafficPatternAltitude	ChartName	DistanceFromCBD	DirectionFromCBD	LandAreaCoveredByAirport	BoundaryARTCCID	BoundaryARTCCComputerID	BoundaryARTCCName	ResponsibleARTCCID	ResponsibleARTCCComputerID	ResponsibleARTCCName	TieInFSS	TieInFSSID	TieInFSSName	AirportToFSSPhoneNumber	TieInFSSTollFreeNumber	AlternateFSSID	AlternateFSSName	AlternateFSSTollFreeNumber	NOTAMFacilityID	NOTAMService	ActivationDate	AirportStatusCode	CertificationTypeDate	FederalAgreements	AirspaceDetermination	CustomsAirportOfEntry	CustomsLandingRights	MilitaryJointUse	MilitaryLandingRights	InspectionMethod	InspectionGroup	LastInspectionDate	LastOwnerInformationDate	FuelTypes	AirframeRepair	PowerPlantRepair	BottledOxygenType	BulkOxygenType	LightingSchedule	BeaconSchedule	ATCT	UNICOMFrequencies	CTAFFrequency	SegmentedCircle	BeaconColor	NonCommercialLandingFee	MedicalUse	SingleEngineGA	MultiEngineGA	JetEngineGA	HelicoptersGA	GlidersOperational	MilitaryOperational	Ultralights	OperationsCommercial	OperationsCommuter	OperationsAirTaxi	OperationsGALocal	OperationsGAItin	OperationsMilitary	OperationsDate	AirportPositionSource	AirportPositionSourceDate	AirportElevationSource	AirportElevationSourceDate	ContractFuelAvailable	TransientStorage	OtherServices	WindIndicator	IcaoIdentifier	MinimumOperationalNetwork
03156.*A	AIRPORT	'DED	8/12/21	ASO	ORL	FL	FLORIDA	VOLUSIA	FL	DELAND	DELAND MUNI-SIDNEY H TAYLOR FLD	PU	PU	CITY OF DELAND	120 S. FLORIDA AVE.	"DELAND, FL 32720"	    386-626-7197	JOHN EIFF	"DELAND MUNI-SIDNEY H TAYLOR FIELD, 1000 FLIGHTLINE BLVD."	"DELAND, FL 32724"	    386-626-7243	29-04-01.3000N	104641.3000N	081-17-01.5000W	292621.5000W	E	79	S	05W	2000		JACKSONVILLE	3	NE	1289	ZJX	ZCJ	JACKSONVILLE	ZJX	ZCJ	JACKSONVILLE	N	PIE	SAINT PETERSBURG		1-800-WX-BRIEF				PIE	Y	4/1/40	O		NGPRY3	NO OBJECTION	N	N	N	Y	S	S	8142018		100LLA    UL94	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	N	123.075	123.075	Y-L	CG	N		127	20	6	7	0	0	0			400	35238	81772	50	8/14/18	NGS	00:00.0	NGS	00:00.0		"HGR,TIE"	"AVNCS,INSTR,PAJA,RNTL"	Y-L	KDED	N
03157.*A	AIRPORT	'DTS	8/12/21	ASO	ORL	FL	FLORIDA	OKALOOSA	FL	DESTIN	DESTIN EXEC	PU	PU	OKALOOSA CO	"BOARD OF COMMISSIONERS, 101 EAST JAMES LEE BOULEVARD"	"CRESTVIEW, FL 32536"	    850-689-5000	TRACY STAGE	1701 STATE ROAD 85 NORTH	"EGLIN AFB, FL 32542-1413"	    850-651-7160	30-24-00.1970N	109440.1970N	086-28-17.3000W	311297.3000W	E	22	S	01W	2000		NEW ORLEANS	1	E	395	ZJX	ZCJ	JACKSONVILLE	ZJX	ZCJ	JACKSONVILLE	N	GNV	GAINESVILLE		1-800-WX-BRIEF				DTS	Y	2/1/65	O		NGY	NO OBJECTION	N	N	N	Y	S	S	3062018		100LLA	MAJOR	MAJOR	HIGH	HIGH/LOW	SEE RMK	SS-SR	Y	123.075	118.45	Y-L	CG	N		31	14	11	5	0	0	0	0		654	11649	51323	361	12/31/18	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		TIE	"AVNCS,INSTR,RNTL"	Y-L	KDTS	N
03169.*A	AIRPORT	'X35	8/12/21	ASO	ORL	FL	FLORIDA	MARION	FL	DUNNELLON	MARION COUNTY	PU	PU	DUNNELLON AIRPORT AUTHORITY	601 SE 25TH AVE	"OCALA, FL 34471"	    352-438-2300	MIKE GRAWE	14968 SW 107TH STREET	"DUNNELLON, FL 34432"	    352-465-8545	29-03-42.3620N	104622.3620N	082-22-35.8300W	296555.8300W	E	65	S	05W	2010		JACKSONVILLE	5	E	792	ZJX	ZCJ	JACKSONVILLE	ZJX	ZCJ	JACKSONVILLE	N	GNV	GAINESVILLE		1-800-WX-BRIEF				GNV	Y	8/1/42	O		N3	NOT ANALYZED	N	N	N	N	S	S	9202018		100LLA+	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	N	122.8	122.8	Y	CG	N		44	1	0	0	0	0	4				23162	15441		9/20/18	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		TIE	"AGRI,AVNCS,PAJA"	Y		N
03178.5*A	AIRPORT	'X36	8/12/21	ASO	ORL	FL	FLORIDA	SARASOTA	FL	ENGLEWOOD	BUCHAN	PU	PU	SARASOTA COUNTY	1001 SARASOTA CENTER BLVD	"SARASOTA, FL 34240"	    941-861-0730	GARY SPRAGGINS	1001 SARASOTA CENTER BLVD	"SARASOTA, FL 34240-7840"	    941-650-3306	26-59-24.2900N	097164.2900N	082-22-26.4640W	296546.4640W	E	15	E	02W	1985		MIAMI	2	NW	100	ZMA	ZCR	MIAMI	ZMA	ZCR	MIAMI	N	PIE	SAINT PETERSBURG		1-800-WX-BRIEF				PIE	Y	12/1/49	O			NOT ANALYZED	N	N	N	N	S	S	10112018					NONE	NONE			N		122.9	Y		N		7						1			1	1890	810		10/11/18						TIE		Y		N
03180.01*A	AIRPORT	'X55	8/12/21	ASO	ORL	FL	FLORIDA	LAKE	FL	EUSTIS	MID-FLORIDA	PR	PU	"MC GROUP ENTERPRISES, INC."	"14400 NW 77TH COURT, SUITE 201"	"MIAMI LAKES, FL 33016"	    786-395-5632	YAS RAHMANPARAST	13354 SW 58TH AVENUE	"MIAMI , FL 33156"	  (786) 395-5632	28-50-36.0000N	103836.0000N	081-37-48.3000W	293868.3000W	E	167	E	03W	1985		JACKSONVILLE	3	E	30	ZJX	ZCJ	JACKSONVILLE	ZJX	ZCJ	JACKSONVILLE	N	PIE	SAINT PETERSBURG		1-800-WX-BRIEF				PIE	Y	6/1/67	O			CONDITIONAL	N	N	N	N	S	S	9182018			NONE	NONE	NONE	NONE	SEE RMK	SEE RMK	N	122.8	122.8	N	CG	Y		59	4								1000	10000	10000	24	9/18/18	OWNER	00:00.0	OWNER	00:00.0		"HGR,TIE"		Y-L		N
03182.*A	AIRPORT	'X01	8/12/21	ASO	ORL	FL	FLORIDA	COLLIER	FL	EVERGLADES	EVERGLADES AIRPARK	PU	PU	COLLIER COUNTY AIRPORT AUTHORITY	"2005 MAINSAIL DR., SUITE 1"	"NAPLES, FL 34114-8955"	    239-642-7878	JUSTIN E. LOBB	650 EC AIRPARK RD.	"EVERGLADES CITY, FL 34139"	    239-695-2778	25-50-55.9000N	093055.9000N	081-23-25.0000W	293005.0000W	E	5	S	02W	1985		MIAMI	1	SW	29	ZMA	ZCR	MIAMI	ZMA	ZCR	MIAMI	N	MIA	MIAMI		1-800-WX-BRIEF				MIA	Y	3/1/48	O		NGY	CONDITIONAL	N	N	N	Y	S	S	10102018		100LL	NONE	NONE	NONE	NONE	SEE RMK	SS-SR	N	123.075	123.075	Y	CG	N		4	0	0	0	0	0	0			200	2100	4400		2/28/19	FAA-EST	00:00.0				TIE	CHTR	Y-L		N
03186.*A	AIRPORT	'FHB	8/12/21	ASO	ORL	FL	FLORIDA	NASSAU	FL	FERNANDINA BEACH	FERNANDINA BEACH MUNI	PU	PU	CITY OF FERNANDINA BEACH	204 ASH ST	"FERNANDINA BEACH, FL 32034"	  (904) 310-3100	NATHAN COYLE	700 AIRPORT ROAD	"FERNANDINA BEACH, FL 32034"	  (904) 310-3438	30-36-42.6000N	110202.6000N	081-27-40.3000W	293260.3000W	E	15	S	05W	2000		JACKSONVILLE	3	S	848	ZJX	ZCJ	JACKSONVILLE	ZJX	ZCJ	JACKSONVILLE	N	GNV	GAINESVILLE		1-800-WX-BRIEF				GNV	Y	10/1/44	O		NGRY3	CONDITIONAL	N	N	N	Y	S	S	2072018		100LLA	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	N	122.7	122.7	Y	CG	N		50	6	0	0	0	0	0			1600	10000	35000	400	2/7/18	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		"HGR,TIE"	"AVNCS,INSTR,PAJA,RNTL"	Y-L	KFHB	N
03193.*H	HELIPORT	'DT1	8/12/21	ASO	ORL	FL	FLORIDA	BROWARD	FL	FORT LAUDERDALE	DOWNTOWN FORT LAUDERDALE	PU	PU	CITY OF FORT LAUDERDALE	P.O. BOX 14250	"FT LAUDERDALE, FL 33301"	    954-828-5000	RUFUS JAMES	"FORT LAUDERDALE EXECUTIVE AIRPORT, 6000 NORTHWEST 21ST AVENUE"	"FT LAUDERDALE, FL 33309"	  (954) 828-4968	26-07-13.6720N	094033.6720N	080-08-31.3975W	288511.3975W	E	114	S	05W	2000		MIAMI	0	N		ZMA	ZCR	MIAMI	ZMA	ZCR	MIAMI		MIA	MIAMI		1-800-WX-BRIEF				MIA	Y	5/1/02	O			CONDITIONAL					S	S	5022018							SS-SR		N	123.05	123.05	N																	5/2/18	FAA-EST IMAGERY	00:00.0	OWNER	00:00.0				Y-L		N
03194.*A	AIRPORT	'FXE	8/12/21	ASO	ORL	FL	FLORIDA	BROWARD	FL	FORT LAUDERDALE	FORT LAUDERDALE EXEC	PU	PU	CITY OF FORT LAUDERDALE	PO BOX 14250	"FORT LAUDERDALE, FL 33301"	    954-828-5000	RUFUS JAMES	6000 NW 21ST AVE	"FT LAUDERDALE, FL 33309"	  (954) 828-4968	26-11-50.2057N	094310.2057N	080-10-14.5426W	288614.5426W	E	13	S	07W	2015		MIAMI	5	N	1050	ZMA	ZCR	MIAMI	ZMA	ZCR	MIAMI	N	MIA	MIAMI		1-800-WX-BRIEF				FXE	Y	7/1/44	O		NGRY	NO OBJECTION	N	Y	N	Y	S	S	5012018		100LLA    B	MAJOR	MAJOR	HIGH	HIGH	SS-SR	SS-SR	Y	122.95		Y-L	CG	N		228	109	174	14	1	0	1			12880	116520	20153	150	5/1/18	NGS	00:00.0	3RD PARTY SURVEY	00:00.0		TIE	"AFRT,AMB,AVNCS,CHTR,INSTR,RNTL,SALES"	Y-L	KFXE	N
03192.*A	AIRPORT	'FLL	8/12/21	ASO	ORL	FL	FLORIDA	BROWARD	FL	FORT LAUDERDALE	FORT LAUDERDALE/HOLLYWOOD INTL	PU	PU	BROWARD COUNTY	"115 S. ANDREWS AVENUE, ROOM 421"	"DANIA BEACH, FL 33312-1872"	    954-359-6100	MARK GALE	320 TERMINAL DRIVE SUITE 200	"FORT LAUDERDALE, FL 33315"	    954-359-6100	26-04-18.0000N	093858.0000N	080-08-58.9000W	288538.9000W	E	65	S	06W	2015		MIAMI	3	SW	1380	ZMA	ZCR	MIAMI	ZMA	ZCR	MIAMI	N	MIA	MIAMI		1-800-WX-BRIEF				FLL	Y	4/1/40	O	I E S 05/1973	NGPSY	NO OBJECTION	Y	Y	N	Y	F	F	2272020		100LLA	MAJOR	MAJOR	HIGH/LOW	HIGH/LOW	SS-SR	SS-SR	Y	122.95		N	CG	N		23	13	74	1				164417		24367	24341		696	1/31/21	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		"HGR,TIE"	"AFRT,AMB,AVNCS,CARGO,CHTR,INSTR,RNTL,SALES,SURV"	Y	KFLL	N
03198.*A	AIRPORT	'FMY	8/12/21	ASO	ORL	FL	FLORIDA	LEE	FL	FORT MYERS	PAGE FLD	PU	PU	LEE COUNTY PORT AUTHORITY	11000 TERMINAL ACCESS RD SUITE 8671	"FORT MYERS, FL 33913"	    239-590-4800	SCOTT SHEETS	5200 CAPTAIN CHANNING PAGE DRIVE	"FORT MYERS, FL 33907"	    239-590-6601	26-35-11.8000N	095711.8000N	081-51-47.7000W	294707.7000W	E	17	S	03W	1990		MIAMI	3	S	588	ZMA	ZCR	MIAMI	ZMA	ZCR	MIAMI		MIA	MIAMI		1-800-WX-BRIEF				FMY	Y	4/1/40	O		NGPRY3	NO OBJECTION	N	N	N	Y	S	S	10112018		100LLA	MAJOR	MAJOR	HIGH/LOW	HIGH/LOW	SEE RMK	SS-SR	Y		119	Y-L	CG	Y		152	34	14	3	0	0	0	9		3545	50015	61052	242	12/31/19	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		"HGR,TIE"	"AMB,AVNCS,CHTR,INSTR,RNTL,SALES"	Y-L	KFMY	N
03198.2*A	AIRPORT	'RSW	8/12/21	ASO	ORL	FL	FLORIDA	LEE	FL	FORT MYERS	SOUTHWEST FLORIDA INTL	PU	PU	BOARD OF COM LEE CO PORT AUTH	PO BOX 398	"FORT MYERS, FL 33902"	    239-590-4800	BEN SIEGEL	11000 TERMINAL ACCESS RD.	"FORT MYERS, FL 33913"	    239-590-4400	26-32-10.2000N	095530.2000N	081-45-18.6000W	294318.6000W	E	29	S	04W	2000		MIAMI	10	SE	13555	ZMA	ZCR	MIAMI	ZMA	ZCR	MIAMI		MIA	MIAMI		1-800-WX-BRIEF				RSW	Y	3/1/83	O	I D S 05/1983	NGY	NO OBJECTION	N	Y		Y	F	F	5142021	6202002	100LLA    A+	MAJOR	MAJOR	HIGH/LOW	HIGH/LOW	SEE RMK	SS-SR	Y	122.95	128.75	Y	CG	Y			0	2	1				56070		5017	0	8593	2013	3/31/21	NGS	00:00.0	NGS	00:00.0		"HGR,TIE"	CARGO	Y-L	KRSW	N
03202.01*C	SEAPLANE BASE	'1FL	8/12/21	ASO	NONE	FL	FLORIDA	ST LUCIE	FL	FORT PIERCE	FORT PIERCE	PU	PU	CITY OF FORT PIERCE	100 N US HIGHWAY 1	"FORT PIERCE, FL 34950"	    772-467-3000	NICK MIMMS	100 N US HIGHWAY 1	"FORT PIERCE, FL 34950"	    772-467-3000	27-26-21.6600N	098781.6600N	080-18-43.7000W	289123.7000W	E	0	E				MIAMI	1	NE	0	ZMA	ZCR	MIAMI	ZMA	ZCR	MIAMI		MIA	MIAMI		1-800-WX-BRIEF						5/1/20	O			NO OBJECTION						N										N		122.9					1			1											OWNER	00:00.0	OWNER	00:00.0						N
03202.*A	AIRPORT	'FPR	8/12/21	ASO	ORL	FL	FLORIDA	ST LUCIE	FL	FORT PIERCE	TREASURE COAST INTL	PU	PU	ST. LUCIE COUNTY	2300 VIRGINIA AVE	"FT PIERCE, FL 34982-5652"	    772-462-1732	JOHN WIATRAK	"3000 CURTIS KING BOULEVARD, 3000 CURTIS KING BOULEVARD"	"FT PIERCE, FL 34946"	    772-462-1727	27-29-50.9000N	098990.9000N	080-22-21.5000W	289341.5000W	E	23	S	07W	2015		MIAMI	3	NW	3844	ZMA	ZCR	MIAMI	ZMA	ZCR	MIAMI	N	MIA	MIAMI		1-800-WX-BRIEF				FPR	Y		O		NGY3	NO OBJECTION	N	Y	N	Y	S	S	1092018		100LLA	MAJOR	MAJOR	NONE	HIGH/LOW	SEE RMK	SS-SR	Y		128.2	Y-L	CG	N		145	39	7	15	1	0	0				103880	92120		1/2/18	NGS	00:00.0	NGS	00:00.0		"HGR,TIE"	"AMB,AVNCS,CHTR,INSTR,RNTL,SALES"	Y-L	KFPR	N
03210.*A	AIRPORT	'GNV	8/12/21	ASO	ORL	FL	FLORIDA	ALACHUA	FL	GAINESVILLE	GAINESVILLE RGNL	PU	PU	GAINESVILLE-ALACHUA CO AUTH	3880 NE 39TH AVE	"GAINESVILLE, FL 32609"	    352-373-0249	ALLAN PENKSA	3880 NE 39 AVE STE A	"GAINESVILLE, FL 32609"	    352-373-0249	29-41-24.2000N	106884.2000N	082-16-18.4000W	296178.4000W	E	151	S	04W	2005		JACKSONVILLE	3	NE	1650	ZJX	ZCJ	JACKSONVILLE	ZJX	ZCJ	JACKSONVILLE	N	GNV	GAINESVILLE		1-800-WX-BRIEF				GNV	Y	4/1/40	O	I B S 05/1973	NGPY3	NO OBJECTION	N	N	N	Y	F	F	11202019		100  A	MAJOR	MAJOR	HIGH	HIGH	SEE RMK	SS-SR	Y	122.95	119.55	Y	CG	N		101	18	28	9				4163		5179	17350	36869	4134	9/30/20	NGS	00:00.0	NGS	00:00.0		"HGR,TIE"	"CARGO,INSTR,RNTL,SALES"	Y-L	KGNV	N
03230.1*A	AIRPORT	'6J8	8/12/21	ASO	ORL	FL	FLORIDA	ALACHUA	FL	HIGH SPRINGS	OAK TREE LANDING	PR	PU	OAK TREE LANDING LLC	300 SE 2ND ST	"FORT LAUDERDALE, FL 33301"	    954-627-9300	JULIE COLE	3603 NW 63RD PLACE	"GAINESVILLE, FL 32653"	    352-871-5354	29-43-12.9500N	106992.9500N	082-39-54.7500W	297594.7500W	E	90	E	02W	1985		JACKSONVILLE	7	SW	1300	ZJX	ZCJ	JACKSONVILLE	ZJX	ZCJ	JACKSONVILLE	N	GNV	GAINESVILLE		1-800-WX-BRIEF				GNV	Y	12/1/73	O			CONDITIONAL			N		S	S	4052018									N		122.9	N		Y												100	100		4/5/18	ADO	00:00.0	ADO	00:00.0				Y-L		N
03230.81*A	AIRPORT	'01J	8/12/21	ASO	ORL	FL	FLORIDA	NASSAU	FL	HILLIARD	HILLIARD AIRPARK	PU	PU	TOWN OF HILLIARD	PO BOX 249	"HILLIARD, FL 32046"	    904-845-3555	MICHAEL ARNOLD	P.O. BOX 549	"HILLIARD, FL 32406"	    904-583-6159	30-41-09.4800N	110469.4800N	081-54-22.8350W	294862.8350W	E	59	S	03W	1985		JACKSONVILLE	1	E	30	ZJX	ZCJ	JACKSONVILLE	ZJX	ZCJ	JACKSONVILLE	N	GNV	GAINESVILLE		1-800-WX-BRIEF				GNV	Y	12/1/69	O		N	CONDITIONAL	N	N	N		S	S	2062018		100LL	NONE	NONE	NONE	NONE	SEE RMK	SS-SR	N		122.9	N	CG	N		23	0	0	0	0	0	0				3120	1880		2/6/18	FAA-EST	00:00.0				TIE	INSTR	Y-L		N
03234.2*C	SEAPLANE BASE	'F15	8/12/21	ASO	NONE	FL	FLORIDA	VOLUSIA	FL	HOLLY HILL	HALIFAX RIVER	PR	PU	CHRISTOPHER 'DOC' BAILEY	1580 OLD NDB RD.	"DELAND, FL 32724"	  (314) 322-5660	CHRISTOPHER 'DOC' BAILEY	1580 OLD NDB RD.	"DELAND, FL 32724"	    314-322-5660	29-14-30.5800N	105270.5800N	081-01-56.3880W	291716.3880W	E	5	E				JACKSONVILLE	0	N	30	ZJX	ZCJ	JACKSONVILLE	ZJX	ZCJ	JACKSONVILLE		PIE	SAINT PETERSBURG		1-800-WX-BRIEF				PIE	Y	12/1/16	O			CONDITIONAL						S	2092018			MINOR	MINOR	NONE	NONE			N		122.9					2										12	5		2/9/18	OWNER	00:00.0	OWNER	00:00.0				Y		N
03236.*A	AIRPORT	'HWO	8/12/21	ASO	ORL	FL	FLORIDA	BROWARD	FL	HOLLYWOOD	NORTH PERRY	PU	PU	BROWARD COUNTY	"2200 SOUTHWEST 45TH STREET, SUITE 101"	"DANIA BEACH, FL 33312"	  (954) 357-2450	NINA MACPHERSON	"101 SOUTHWEST 77TH WAY, 101 SOUTHWEST 77TH WAY"	"PEMBROKE PINES, FL 33023"	    954-359-1016	26-00-04.4000N	093604.4000N	080-14-26.6000W	288866.6000W	E	8	S	06W	2015	800	MIAMI	5	W	536	ZMA	ZCR	MIAMI	ZMA	ZCR	MIAMI	N	MIA	MIAMI		1-800-WX-BRIEF				HWO	Y	12/1/44	O		NGPY	CONDITIONAL	N	N	N	Y	S	S	5022018		100LLA	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	Y	122.95	132.1	Y-L	CG	N		358	53	1	16	1	0	1			84	72144	45229	192	5/2/18	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		"HGR,TIE"	"AVNCS,CHTR,INSTR,RNTL,SALES"	Y-L	KHWO	N
03242.1*A	AIRPORT	'X51	8/12/21	ASO	ORL	FL	FLORIDA	DADE	FL	HOMESTEAD	MIAMI HOMESTEAD GENERAL AVIATION	PU	PU	MIAMI-DADE COUNTY	"MIAMI-DADE AVIATION DEPARTMENT, P.O. BOX 025504"	"MIAMI, FL 33102-5504"	    305-876-0464	JONATHAN SPICER	12800 SOUTHWEST 145TH AVENUE	"MIAMI, FL 33186"	  (305) 869-1702	25-29-57.2303N	091797.2303N	080-33-15.2802W	289995.2802W	E	7	S	06W	2010		MIAMI	4	NW	807	ZMA	ZCR	MIAMI	ZMA	ZCR	MIAMI	N	MIA	MIAMI		1-800-WX-BRIEF				MIA	Y	4/1/63	O		NGY	CONDITIONAL	N	N	N	Y	S	S	5042018		100LLA	MAJOR	MAJOR	LOW		SS-SR	SS-SR	N	122.8	122.8	Y-L	CG	N		19	0	0	0	2	0	1			2100	46582	26451	1484	5/4/18	FAA-EST	00:00.0	3RD PARTY SURVEY	00:00.0		"HGR,TIE"	"CHTR,GLD,INSTR,PAJA,RNTL,SALES,SURV,TOW"	Y-L		N
03245.*A	AIRPORT	'IMM	8/12/21	ASO	ORL	FL	FLORIDA	COLLIER	FL	IMMOKALEE	IMMOKALEE RGNL	PU	PU	COLLIER COUNTY AIRPORT AUTHORITY	"2005 MAINSAIL DR., SUITE 1"	"NAPLES, FL 34114"	  (239) 642-7878	JUSTIN E. LOBB	165 AIRPARK BLVD	"IMMOKALEE, FL 34142"	    239 657-9003	26-26-01.3638N	095161.3638N	081-24-01.7214W	293041.7214W	E	37	S	05W	2010		MIAMI	1	NE	1330	ZMA	ZCR	MIAMI	ZMA	ZCR	MIAMI	N	MIA	MIAMI		1-800-WX-BRIEF				MIA	Y	2/1/44	O		NGPY	CONDITIONAL	N	N	N	Y	S	S	10092018		100LLA    A+	MINOR	MINOR	NONE	NONE	SEE RMK	SS-SR	N		122.9	Y-L	CG	N		46	6	3	1	0	0	0				30500	7200	150	2/28/19	FAA	00:00.0	3RD PARTY SURVEY	00:00.0		"HGR,TIE"	"AGRI,CHTR,GLD"	Y-L	KIMM	N
03248.*A	AIRPORT	'X58	8/12/21	ASO	ORL	FL	FLORIDA	MARTIN	FL	INDIANTOWN	INDIANTOWN	PR	PU	INDIANTOWN INTERNATIONAL INC.	PO BOX 1234	"INDIANTOWN, FL 34956-1234"	    772-597-5800	CLYDE DAWSON	PO BOX 1234	"INDIANTOWN, FL 34956-1234"	    772-597-5800	27-02-15.0000N	097335.0000N	080-26-27.6000W	289587.6000W	E	30	E	03W	1985		MIAMI	2	NE	600	ZMA	ZCR	MIAMI	ZMA	ZCR	MIAMI	N	MIA	MIAMI		1-800-WX-BRIEF				MIA	Y	2/1/63	O			CONDITIONAL	N	N	N	N	S	S	1102018	1302017	100LL	MAJOR	MAJOR	NONE	NONE			N	123	123	N		Y		57	2		1	0						4000	1000		1/10/18	FAA-EST	00:00.0				"HGR,TIE"	"AGRI,INSTR"	Y		N
03249.*A	AIRPORT	'INF	8/12/21	ASO	ORL	FL	FLORIDA	CITRUS	FL	INVERNESS	INVERNESS	PU	PU	CITRUS COUNTY	110 NORTH APOPKA AVE	"INVERNESS, FL 34450"	  (352) 527-5478	ANDREW CHAN	4250 SOUTH AIRPORT ROAD	"INVERNESS, FL 34450"	  (407) 734-1442	28-48-13.0060N	103693.0060N	082-19-05.8470W	296345.8470W	E	64	S	05W	2010		JACKSONVILLE	2	SE	347	ZJX	ZCJ	JACKSONVILLE	ZJX	ZCJ	JACKSONVILLE	N	PIE	SAINT PETERSBURG		1-800-WX-BRIEF				PIE	Y	1/1/46	O		N1	CONDITIONAL	N	N	N	N	S	S	9192018	9222009	100LLA+	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	N	122.725	122.725	Y-L	CG	N		20	0	0	2	1	0	0				36500	36500		9/19/18	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		"HGR,TIE"	"AGRI,AMB,AVNCS,GLD,INSTR,RNTL,SALES,TOW"	Y-L	KINF	N
03250.3*A	AIRPORT	'VQQ	8/12/21	ASO	ORL	FL	FLORIDA	DUVAL	FL	JACKSONVILLE	CECIL	PU	PU	JACKSONVILLE AVIATION AUTHORITY	14201 PECAN PARK ROAD	"JACKSONVILLE, FL 32218-0018"	  (904) 741-2013	KELLY DOLLARHIDE	13365 SIMPSON WAY	"JACKSONVILLE, FL 32221-5522"	    904-573-1604	30-13-07.6000N	108787.6000N	081-52-37.8000W	294757.8000W	E	79	S	05W	2000		JACKSONVILLE	0	N	6082	ZJX	ZCJ	JACKSONVILLE	ZJX	ZCJ	JACKSONVILLE	N	PIE	SAINT PETERSBURG		1-800-WX-BRIEF				VQQ	Y		O		N	NO OBJECTION				Y	S	S	2052018	8131976	100LLA1+	MAJOR	MAJOR	HIGH/LOW	HIGH	SEE RMK	SS-SR	Y		126.1	N	CG			12	1	1	1	0	69	0	744		346	32567	16805	53899	2/5/18	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		TIE	"AVNCS,INSTR"	Y-L	KVQQ	N
03250.*A	AIRPORT	'HEG	8/12/21	ASO	ORL	FL	FLORIDA	DUVAL	FL	JACKSONVILLE	HERLONG RECREATIONAL	PU	PU	JACKSONVILLE AVIATION AUTHORITY	14201 PECAN PARK ROAD	"JACKSONVILLE, FL 32218"	    904-741-2069	ROLF RIECHMANN	"9300 NORMANDY BLVD., SUITE 4"	"JACKSONVILLE, FL 32221-5522"	    904-783-2805	30-16-40.0000N	109000.0000N	081-48-21.4000W	294501.4000W	E	85	S	06W	2010		JACKSONVILLE	8	SW	1484	ZJX	ZCJ	JACKSONVILLE	ZJX	ZCJ	JACKSONVILLE	N	GNV	GAINESVILLE		1-800-WX-BRIEF				GNV	Y	1/1/40	O		NGRY	CONDITIONAL	N	N	N	Y	S	S	2062018		100LLA	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	N	123	123	Y-L	CG	N		80	9	0	1	7	0	0				43000	35000	2700	2/6/18	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		"HGR,TIE"	"AVNCS,CHTR,GLD,INSTR,PAJA,RNTL,SALES,TOW"	Y-L	KHEG	N
03251.*A	AIRPORT	'CRG	8/12/21	ASO	ORL	FL	FLORIDA	DUVAL	FL	JACKSONVILLE	JACKSONVILLE EXEC AT CRAIG	PU	PU	JACKSONVILLE AVIATION AUTHORITY	14201 PECAN PARK ROAD	"JACKSONVILLE, FL 32218"	    904-573-1613	ROLF RIECHMANN	"855-1 SAINT JOHNS BLUFF RD NORTH, SUITE 500"	"JACKSONVILLE, FL 32225-8388"	    904-783-2805	30-20-10.8000N	109210.8000N	081-30-52.0000W	293452.0000W	E	40	S	06W	2015		JACKSONVILLE	8	E	1432	ZJX	ZCJ	JACKSONVILLE	ZJX	ZCJ	JACKSONVILLE	N	GNV	GAINESVILLE		1-800-WX-BRIEF				CRG	Y	1/1/43	O		NGRY3	NO OBJECTION	N	N	N	Y	S	S	2072018		100LLA	MAJOR	MAJOR	NONE		SEE RMK	SS-SR	Y	122.95	132.1	Y	CG	N		142	46	10	9	0	18	0			7601	56209	79920	15039	2/7/18	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		"HGR,TIE"	"AMB,AVNCS,CHTR,INSTR,RNTL,SALES,SURV"	Y-L	KCRG	N
